route_id,service_id,trip_id,trip_headsign,trip_short_name,block_id,shape_id,jp_trip_desc_symbol,jp_office_id
北条線（上り）,毎日,北条線（上り）+毎日+由西4,0西倉吉,由西4,,北条線（上り）,,倉吉営業所
北条線（青山剛昌ふるさと館経由上り）,毎日,北条線（青山剛昌ふるさと館経由上り）+毎日+由西6,0西倉吉,由西6,,北条線（青山剛昌ふるさと館経由上り）,,倉吉営業所
北条線（青山剛昌ふるさと館経由上り）,毎日,北条線（青山剛昌ふるさと館経由上り）+毎日+由西8,0西倉吉,由西8,,北条線（青山剛昌ふるさと館経由上り）,,倉吉営業所
北条線（青山剛昌ふるさと館経由上り）,毎日,北条線（青山剛昌ふるさと館経由上り）+毎日+由西10,0西倉吉,由西10,,北条線（青山剛昌ふるさと館経由上り）,,倉吉営業所
北条線（青山剛昌ふるさと館経由上り）,毎日,北条線（青山剛昌ふるさと館経由上り）+毎日+由西12,0西倉吉,由西12,,北条線（青山剛昌ふるさと館経由上り）,,倉吉営業所
北条線（青山剛昌ふるさと館経由上り）,毎日,北条線（青山剛昌ふるさと館経由上り）+毎日+由西14,0西倉吉,由西14,,北条線（青山剛昌ふるさと館経由上り）,,倉吉営業所
北条線（青山剛昌ふるさと館経由上り）,毎日,北条線（青山剛昌ふるさと館経由上り）+毎日+由西16,0西倉吉,由西16,,北条線（青山剛昌ふるさと館経由上り）,,倉吉営業所
北条線（上り）,毎日,北条線（上り）+毎日+由西18,0西倉吉,由西18,,北条線（上り）,,倉吉営業所
橋津線（湯梨浜町役場前経由下り）,●,橋津線（湯梨浜町役場前経由下り）+●+石9,50石脇車庫,石9,,橋津線（湯梨浜町役場前経由下り）,,倉吉営業所
橋津線（はわい温泉経由下り）,毎日,橋津線（はわい温泉経由下り）+毎日+石11羽,50小浜,石11羽,,橋津線（はわい温泉経由下り）,,倉吉営業所
橋津線（はわい温泉経由下り）,毎日,橋津線（はわい温泉経由下り）+毎日+石13羽,50小浜,石13羽,,橋津線（はわい温泉経由下り）,,倉吉営業所
橋津線（湯梨浜町役場前経由下り）,毎日,橋津線（湯梨浜町役場前経由下り）+毎日+石15,50石脇車庫,石15,,橋津線（湯梨浜町役場前経由下り）,,倉吉営業所
橋津線（湯梨浜町役場前経由下り）,毎日,橋津線（湯梨浜町役場前経由下り）+毎日+石17,50石脇車庫,石17,,橋津線（湯梨浜町役場前経由下り）,,倉吉営業所
橋津線（湯梨浜町役場前経由下り）,毎日,橋津線（湯梨浜町役場前経由下り）+毎日+石19,50石脇車庫,石19,,橋津線（湯梨浜町役場前経由下り）,,倉吉営業所
橋津線（はわい温泉経由下り）,毎日,橋津線（はわい温泉経由下り）+毎日+石21羽,50小浜,石21羽,,橋津線（はわい温泉経由下り）,,倉吉営業所
橋津線（湯梨浜町役場前経由下り）,▲,橋津線（湯梨浜町役場前経由下り）+▲+石23,50石脇車庫,石23,,橋津線（湯梨浜町役場前経由下り）,,倉吉営業所
橋津線（はわい温泉経由下り）,毎日,橋津線（はわい温泉経由下り）+毎日+石25羽,50小浜,石25羽,,橋津線（はわい温泉経由下り）,,倉吉営業所
橋津線（湯梨浜町役場前経由下り）,毎日,橋津線（湯梨浜町役場前経由下り）+毎日+石27,50石脇車庫,石27,,橋津線（湯梨浜町役場前経由下り）,,倉吉営業所
橋津線（はわい温泉経由下り）,毎日,橋津線（はわい温泉経由下り）+毎日+石29羽,50小浜,石29羽,,橋津線（はわい温泉経由下り）,,倉吉営業所
橋津線（湯梨浜町役場前経由下り）,毎日,橋津線（湯梨浜町役場前経由下り）+毎日+石31,50石脇車庫,石31,,橋津線（湯梨浜町役場前経由下り）,,倉吉営業所
橋津線（湯梨浜町役場前経由下り）,▲,橋津線（湯梨浜町役場前経由下り）+▲+石33,50石脇車庫,石33,,橋津線（湯梨浜町役場前経由下り）,,倉吉営業所
橋津線（はわい温泉経由下り）,毎日,橋津線（はわい温泉経由下り）+毎日+石35羽,50小浜,石35羽,,橋津線（はわい温泉経由下り）,,倉吉営業所
橋津線（湯梨浜町役場前経由下り）,毎日,橋津線（湯梨浜町役場前経由下り）+毎日+石37,50石脇車庫,石37,,橋津線（湯梨浜町役場前経由下り）,,倉吉営業所
橋津線（湯梨浜町役場前経由下り）,▲,橋津線（湯梨浜町役場前経由下り）+▲+石39,50石脇車庫,石39,,橋津線（湯梨浜町役場前経由下り）,,倉吉営業所
橋津線（はわい温泉経由上り）,●,橋津線（はわい温泉経由上り）+●+石②羽,0西倉吉,石②羽,,橋津線（はわい温泉経由上り）,,倉吉営業所
橋津線（湯梨浜町役場前経由上り）,毎日,橋津線（湯梨浜町役場前経由上り）+毎日+石④,0西倉吉,石④,,橋津線（湯梨浜町役場前経由上り）,,倉吉営業所
橋津線（はわい温泉経由上り）,毎日,橋津線（はわい温泉経由上り）+毎日+石⑥羽,0西倉吉,石⑥羽,,橋津線（はわい温泉経由上り）,,倉吉営業所
橋津線（湯梨浜町役場前経由上り）,●,橋津線（湯梨浜町役場前経由上り）+●+石⑧,0西倉吉,石⑧,,橋津線（湯梨浜町役場前経由上り）,,倉吉営業所
橋津線（湯梨浜町役場前経由上り）,毎日,橋津線（湯梨浜町役場前経由上り）+毎日+石10,0西倉吉,石10,,橋津線（湯梨浜町役場前経由上り）,,倉吉営業所
橋津線（はわい温泉経由上り）,毎日,橋津線（はわい温泉経由上り）+毎日+石12羽,0西倉吉,石12羽,,橋津線（はわい温泉経由上り）,,倉吉営業所
橋津線（湯梨浜町役場前経由上り）,毎日,橋津線（湯梨浜町役場前経由上り）+毎日+石14,0西倉吉,石14,,橋津線（湯梨浜町役場前経由上り）,,倉吉営業所
橋津線（湯梨浜町役場前経由上り）,毎日,橋津線（湯梨浜町役場前経由上り）+毎日+石16,0西倉吉,石16,,橋津線（湯梨浜町役場前経由上り）,,倉吉営業所
橋津線（はわい温泉経由上り）,毎日,橋津線（はわい温泉経由上り）+毎日+石18羽,0西倉吉,石18羽,,橋津線（はわい温泉経由上り）,,倉吉営業所
橋津線（はわい温泉経由上り）,毎日,橋津線（はわい温泉経由上り）+毎日+石20羽,0西倉吉,石20羽,,橋津線（はわい温泉経由上り）,,倉吉営業所
橋津線（湯梨浜町役場前経由上り）,毎日,橋津線（湯梨浜町役場前経由上り）+毎日+石22,0西倉吉,石22,,橋津線（湯梨浜町役場前経由上り）,,倉吉営業所
橋津線（湯梨浜町役場前経由上り）,▲,橋津線（湯梨浜町役場前経由上り）+▲+石24,0西倉吉,石24,,橋津線（湯梨浜町役場前経由上り）,,倉吉営業所
橋津線（はわい温泉経由上り）,毎日,橋津線（はわい温泉経由上り）+毎日+石26羽,0西倉吉,石26羽,,橋津線（はわい温泉経由上り）,,倉吉営業所
橋津線（湯梨浜町役場前経由上り）,毎日,橋津線（湯梨浜町役場前経由上り）+毎日+石28,0西倉吉,石28,,橋津線（湯梨浜町役場前経由上り）,,倉吉営業所
橋津線（はわい温泉経由上り）,毎日,橋津線（はわい温泉経由上り）+毎日+石30羽,0西倉吉,石30羽,,橋津線（はわい温泉経由上り）,,倉吉営業所
橋津線（はわい温泉経由上り）,▲,橋津線（はわい温泉経由上り）+▲+石32羽,0西倉吉,石32羽,,橋津線（はわい温泉経由上り）,,倉吉営業所
松崎・北方線（東石下り）,●,松崎・北方線（東石下り）+●+東石1,石脇車庫,東石1,,松崎・北方線（東石下り）,,倉吉営業所
松崎・北方線（北下り）,毎日,松崎・北方線（北下り）+毎日+北3,60北方入口,北3,,松崎・北方線（北下り）,,倉吉営業所
松崎・北方線（北下り）,毎日,松崎・北方線（北下り）+毎日+北5,60北方入口,北5,,松崎・北方線（北下り）,,倉吉営業所
松崎・北方線（北下り）,毎日,松崎・北方線（北下り）+毎日+北7,60北方入口,北7,,松崎・北方線（北下り）,,倉吉営業所
松崎・北方線（北下り）,毎日,松崎・北方線（北下り）+毎日+北9,60北方入口,北9,,松崎・北方線（北下り）,,倉吉営業所
松崎・北方線（北下り）,毎日,松崎・北方線（北下り）+毎日+北11,60北方入口,北11,,松崎・北方線（北下り）,,倉吉営業所
松崎・北方線（北下り）,毎日,松崎・北方線（北下り）+毎日+北13,60北方入口,北13,,松崎・北方線（北下り）,,倉吉営業所
松崎・北方線（北下り）,●,松崎・北方線（北下り）+●+北15,60北方入口,北15,,松崎・北方線（北下り）,,倉吉営業所
松崎・北方線（北上り）,毎日,松崎・北方線（北上り）+毎日+北2,0西倉吉,北2,,松崎・北方線（北上り）,,倉吉営業所
松崎・北方線（東石上り）,▲,松崎・北方線（東石上り）+▲+東石2,0西倉吉,東石2,,松崎・北方線（東石上り）,,倉吉営業所
松崎・北方線（北上り）,毎日,松崎・北方線（北上り）+毎日+北4,0西倉吉,北4,,松崎・北方線（北上り）,,倉吉営業所
松崎・北方線（北上り）,毎日,松崎・北方線（北上り）+毎日+北6,0西倉吉,北6,,松崎・北方線（北上り）,,倉吉営業所
松崎・北方線（北上り）,毎日,松崎・北方線（北上り）+毎日+北8,0西倉吉,北8,,松崎・北方線（北上り）,,倉吉営業所
松崎・北方線（北上り）,毎日,松崎・北方線（北上り）+毎日+北10,0西倉吉,北10,,松崎・北方線（北上り）,,倉吉営業所
松崎・北方線（北上り）,毎日,松崎・北方線（北上り）+毎日+北12,0西倉吉,北12,,松崎・北方線（北上り）,,倉吉営業所
